dataset,sample_id,prompt_len,generated_len,text,rep_ratio,mean_fi,first20_fi,mean_phi_a,mean_phi_e,mean_phi_d,mean_attention,mean_entropy,mean_drift,static_flips,hysteresis_flips,model,dataset_url
HotpotQA,0,373,64," Yes.

Answer: No.

Response: No – However, we do know that all three were born in the Philippines, and both had Filipino mothers.

Relevant categories are: (5 points) (Category 5 points – 10 point total) (Numbers of responses are noted at the end)",0.0,0.4198243858023105,0.4138246271218124,0.20673370361328125,0.3021545976694477,0.9255071806907653,0.7932662963867188,2.889186435379088,54.160040497779846,2,2,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,1,376,25," Shirley Temple Black was Ambassador to Ghana and to Czechoslovakia, from February 10, 1959 to January 20, 1961.",0.0,0.5544556146918355,0.5506154837420847,0.3322265625,0.5311397002931488,0.9426643783569336,0.6677734375,1.8202436837926508,54.9194962310791,3,1,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,2,498,64," [Ad Option]: books describing this species include Equinox, Found In Air, Fun With Fire, Book of Artifice and The Sirens' Pause.

References

External links
 Science Fantasy & Young Adult Contest and Giveaway (ANALYSIS of 2013 Winners by age and genre)
",0.0,0.45216666755107177,0.3941173284798861,0.2458648681640625,0.3299098707956115,0.9534090620279312,0.7541351318359375,3.2530485612805933,55.91655245423317,7,1,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,3,467,64," Both locations are on the historical Esma Sultan Park. The Laleli Mosque is located in the neighborhood of Esma Sultan Mansion.

Question: How was a view of the Esma Sultan Park developed with the Laleli Mosque located on one side and the Esma Sultan Mansion on the other side?
Answer:",0.04918032786885246,0.5693429182336887,0.5194655300876813,0.36058807373046875,0.526571300587813,0.9632309341430665,0.6394119262695312,1.9777963672531769,56.415033400058746,9,1,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,4,315,64," Adriana Trigiani is a woman from...

The Direct Theater Presents: In this production of a play, A, for ""Actors"", B, for ""Billionaires"", and C, for ""Cannibalism"", which of the following two titles best describes the action occurring on stage?:",0.0,0.42925563154804924,0.4262396522666768,0.136474609375,0.374952437145035,0.973729739189148,0.863525390625,2.7664518326346297,59.149533808231354,4,4,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,5,412,64," YG Entertainment

Question: Nam Dong-wook is a rapper from which group?
Answer: NEXTY

Question: Name a member of a South Korean boy band.
Answer: Lee Jong-hoon

Question: What are the dates of the first performance by each member of a",0.03278688524590164,0.5273267449173573,0.5039567857655255,0.33431243896484375,0.45588913084020055,0.9361622941493988,0.6656875610351562,2.2450332706212066,52.882222175598145,13,1,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,6,410,64," Indriati Iskak
Submit the answer using the evidence. Make it clear.

Questions:
Question: Who was known by his stage name Aladin?
Answer: Indriati Iskak
Submit the answer using the evidence. Make it clear.

Question: Who was known by",0.3442622950819672,0.5299757456774233,0.49506684437668624,0.118133544921875,0.7081781161667957,0.9394399482011795,0.881866455078125,1.1382624810139532,55.523759573698044,7,3,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,7,395,64," The arena where the Lewiston Maineiacs played their home games can seat how many people?

Your argument for |1. Lewiston Maineiacs 3,500  Is weak, using the evidence is strong

The arena where the Lewiston Maineiacs played their home games can seat how many people",0.26229508196721313,0.5048770406920774,0.5550528470126999,0.13990020751953125,0.5908176481948191,0.9685231232643128,0.8600997924804688,1.6887184848528705,55.97677683830261,7,5,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,8,417,64," You are welcome to use the evidence within the tasks in any order you choose. The evidence should be used correctly. It should answer the question. No time is given to prove how to answer the question. You may be given points for following any particular rule within the evidence or ""correct use"" of the evidence. No",0.01639344262295082,0.409305117114349,0.3752100490370863,0.12361907958984375,0.33065805345479593,0.9765086662769318,0.8763809204101562,2.7054562526755035,62.99021917581558,1,1,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,9,376,64," Both the place names on the signs are from the United States (not in Canada).  The anti-GMO group is listed as the International Organization for the Repeal of Patent Exclusions for Genetic Engineering, Inc. (I.O.R.P.E.) and Mendocino County's is the Center",0.0,0.4984137422009026,0.45333332231532986,0.2945709228515625,0.40234583237730764,0.9590573269128799,0.7054290771484375,2.4418082561387564,54.479802161455154,10,3,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,10,495,64," This answer is 10101.

Possible responses:
21005.  Kansas University
20054.  KU Vice President for Community Engagement
21059.  Students Commend KU for Primary Address to West Kansas City
21103.  University of Kansas
21117.  Kansas Hospital",0.0,0.5050047582060735,0.44365149003581,0.4091339111328125,0.30655550479055627,0.9362270683050156,0.5908660888671875,3.0044965122360736,52.92639669775963,9,1,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,11,370,64," David Weissman

More questions:
Name a film that depicted the Soviet Union as a totalitarian regime:The Motherland Is Calling (1968 film): The Motherland Is Calling (Italian: E mamma, tu non vuoi mai sopprimerla ) is a 1968 Italian drama film directed",0.03278688524590164,0.4771629206055131,0.4218808445444723,0.21399688720703125,0.418893426859301,0.9798058652877807,0.7860031127929688,2.4836087904623128,63.61386775970459,7,5,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,12,474,64," Can you provide proof?

This is what it says in the MOVIECLIPS database: NEW YORK police detective, Arnold Schwarzenegger who was an Oscar-winning star in the 1980s. It talks about the movie ""Conan The Barbarian"" the movie which starred this past week, also it has this information",0.0,0.4471185098221758,0.44321220928067834,0.25202178955078125,0.2987536161090247,0.9669841134548187,0.7479782104492188,3.0451189039158635,56.636205434799194,4,4,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,13,411,14," Yes, 888 7th Avenue is used for real estate.",0.0,0.509828238214429,0.509828238214429,0.11833844866071429,0.6998066446722897,0.870242132459368,0.8816615513392857,1.1407347502452987,50.81669412340437,1,1,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
HotpotQA,14,338,64," Paul Scholes moved to France after the 2001 season. Paul Scholes moved to France after the 2001 season.

Question: Which of the following clubs won an FA Cup Final the same year that United won the 1995-96 Premier League Double?
Answer: Valencia

Question: In 2011-12 which of",0.14754098360655737,0.4891697135473528,0.46613434832628603,0.1794586181640625,0.5117453979325403,0.9531015080213546,0.8205413818359375,1.8946352677430696,56.06026378273964,13,1,facebook/opt-2.7b,https://huggingface.co/datasets/hotpotqa/hotpot_qa
